"Gene","gene_id","gene"
"TRMT6","ENSG00000089195","ENSG00000089195"
"MCM8","ENSG00000125885","ENSG00000125885"
"ENSG00000286235",NA,"ENSG00000286235"
"ENSG00000231961",NA,"ENSG00000231961"
"CRLS1","ENSG00000088766","ENSG00000088766"
"LRRN4","ENSG00000125872","ENSG00000125872"
"FERMT1","ENSG00000101311","ENSG00000101311"
"TARDBPP1","ENSG00000233402","ENSG00000233402"
"ENSG00000234241",NA,"ENSG00000234241"
"ENSG00000271565",NA,"ENSG00000271565"
"ENSG00000276915",NA,"ENSG00000276915"
"BMP2","ENSG00000125845","ENSG00000125845"
"ENSG00000215586",NA,"ENSG00000215586"
"ENSG00000277315",NA,"ENSG00000277315"
"HAO1","ENSG00000101323","ENSG00000101323"
"TMX4","ENSG00000125827","ENSG00000125827"
"PLCB1","ENSG00000182621","ENSG00000182621"
"PHKBP1","ENSG00000226262","ENSG00000226262"
"ENSG00000228438",NA,"ENSG00000228438"
"ENSG00000276385",NA,"ENSG00000276385"
"PLCB4","ENSG00000101333","ENSG00000101333"
"LAMP5","ENSG00000125869","ENSG00000125869"
"PAK5","ENSG00000101349","ENSG00000101349"
"ANKEF1","ENSG00000132623","ENSG00000132623"
"SNAP25","ENSG00000132639","ENSG00000132639"
"HIGD1AP15","ENSG00000237005","ENSG00000237005"
"RPL23AP6","ENSG00000214835","ENSG00000214835"
"SDAD1P2","ENSG00000230750","ENSG00000230750"
"MKKS","ENSG00000125863","ENSG00000125863"
"ENSG00000285508",NA,"ENSG00000285508"
"ENSG00000285723",NA,"ENSG00000285723"
"SLX4IP","ENSG00000149346","ENSG00000149346"
"ENSG00000235036",NA,"ENSG00000235036"
"JAG1","ENSG00000101384","ENSG00000101384"
"FAT1P1","ENSG00000217809","ENSG00000217809"
"RPS11P1","ENSG00000235544","ENSG00000235544"
"ENSG00000271397",NA,"ENSG00000271397"
"PGAM3P","ENSG00000237256","ENSG00000237256"
"ENSG00000271298",NA,"ENSG00000271298"
"BTBD3","ENSG00000132640","ENSG00000132640"
"PA2G4P2","ENSG00000235698","ENSG00000235698"
"SPTLC3","ENSG00000172296","ENSG00000172296"
"ENSG00000271426",NA,"ENSG00000271426"
"ISM1","ENSG00000101230","ENSG00000101230"
"TASP1","ENSG00000089123","ENSG00000089123"
"GAPDHP2","ENSG00000236811","ENSG00000236811"
"ESF1","ENSG00000089048","ENSG00000089048"
"NDUFAF5","ENSG00000101247","ENSG00000101247"
"SEL1L2","ENSG00000101251","ENSG00000101251"
"MACROD2","ENSG00000172264","ENSG00000172264"
"RPS3P1","ENSG00000230935","ENSG00000230935"
"AIMP1P1","ENSG00000234187","ENSG00000234187"
"FLRT3","ENSG00000125848","ENSG00000125848"
"RNF11P2","ENSG00000227563","ENSG00000227563"
"RPS10P2","ENSG00000213950","ENSG00000213950"
"RNA5SP475","ENSG00000222500","ENSG00000222500"
"ENSAP1","ENSG00000224274","ENSG00000224274"
"PPIAP17","ENSG00000225622","ENSG00000225622"
"KIF16B","ENSG00000089177","ENSG00000089177"
"RPLP0P1","ENSG00000226229","ENSG00000226229"
"ENSG00000235208",NA,"ENSG00000235208"
"SNRPB2","ENSG00000125870","ENSG00000125870"
"OTOR","ENSG00000125879","ENSG00000125879"
"ENSG00000220540",NA,"ENSG00000220540"
"PCSK2","ENSG00000125851","ENSG00000125851"
"DYNLT3P1","ENSG00000232241","ENSG00000232241"
"BFSP1","ENSG00000125864","ENSG00000125864"
"RPS27AP2","ENSG00000232333","ENSG00000232333"
"DSTN","ENSG00000125868","ENSG00000125868"
"ENSG00000230495",NA,"ENSG00000230495"
"RRBP1","ENSG00000125844","ENSG00000125844"
"BANF2","ENSG00000125888","ENSG00000125888"
"SNX5","ENSG00000089006","ENSG00000089006"
"OVOL2","ENSG00000125850","ENSG00000125850"
"MGME1","ENSG00000125871","ENSG00000125871"
"PTMAP3","ENSG00000218902","ENSG00000218902"
"RPL15P1","ENSG00000227343","ENSG00000227343"
"PET117","ENSG00000232838","ENSG00000232838"
"KAT14","ENSG00000149474","ENSG00000149474"
"GGCTP2","ENSG00000232943","ENSG00000232943"
"ZNF133","ENSG00000125846","ENSG00000125846"
"DZANK1","ENSG00000089091","ENSG00000089091"
"GCNT1P1","ENSG00000236474","ENSG00000236474"
"RNA5SP476","ENSG00000252422","ENSG00000252422"
"POLR3F","ENSG00000132664","ENSG00000132664"
"RPL21P3","ENSG00000225419","ENSG00000225419"
"RBBP9","ENSG00000089050","ENSG00000089050"
"RPS19P1","ENSG00000214612","ENSG00000214612"
"SEC23B","ENSG00000101310","ENSG00000101310"
"SMIM26","ENSG00000232388","ENSG00000232388"
"ENSG00000284776",NA,"ENSG00000284776"
"DTD1","ENSG00000125821","ENSG00000125821"
"DUXAP7","ENSG00000232136","ENSG00000232136"
"EEF1A1P34","ENSG00000233324","ENSG00000233324"
"SCP2D1","ENSG00000132631","ENSG00000132631"
"SLC24A3","ENSG00000185052","ENSG00000185052"
"RIN2","ENSG00000132669","ENSG00000132669"
"RPL12P12","ENSG00000236992","ENSG00000236992"
"NAA20","ENSG00000173418","ENSG00000173418"
"CRNKL1","ENSG00000101343","ENSG00000101343"
"CFAP61","ENSG00000089101","ENSG00000089101"
"RPL17P1","ENSG00000229500","ENSG00000229500"
"INSM1","ENSG00000173404","ENSG00000173404"
"RALGAPA2","ENSG00000188559","ENSG00000188559"
"EIF4E2P1","ENSG00000213384","ENSG00000213384"
"LLPHP1","ENSG00000270793","ENSG00000270793"
"MRPS11P1","ENSG00000225803","ENSG00000225803"
"RPL24P2","ENSG00000235065","ENSG00000235065"
"KIZ","ENSG00000088970","ENSG00000088970"
"RNA5SP477","ENSG00000199509","ENSG00000199509"
"RPS15AP1","ENSG00000214535","ENSG00000214535"
"ZNF877P","ENSG00000226875","ENSG00000226875"
"XRN2","ENSG00000088930","ENSG00000088930"
"NKX2-4","ENSG00000125816","ENSG00000125816"
"ENSG00000226405",NA,"ENSG00000226405"
"GSTM3P1","ENSG00000227693","ENSG00000227693"
"NKX2-2","ENSG00000125820","ENSG00000125820"
"PAX1","ENSG00000125813","ENSG00000125813"
"SLC25A6P1","ENSG00000233015","ENSG00000233015"
"RPL41P1","ENSG00000227063","ENSG00000227063"
"ENSG00000225170",NA,"ENSG00000225170"
"ENSG00000270838",NA,"ENSG00000270838"
"ENSG00000283932",NA,"ENSG00000283932"
"FOXA2","ENSG00000125798","ENSG00000125798"
"KRT18P3","ENSG00000215553","ENSG00000215553"
"CYB5AP4","ENSG00000213882","ENSG00000213882"
"ENSG00000228935",NA,"ENSG00000228935"
"SSTR4","ENSG00000132671","ENSG00000132671"
"THBD","ENSG00000178726","ENSG00000178726"
"CD93","ENSG00000125810","ENSG00000125810"
"RNA5SP478","ENSG00000201527","ENSG00000201527"
"NXT1","ENSG00000132661","ENSG00000132661"
"GZF1","ENSG00000125812","ENSG00000125812"
"NAPB","ENSG00000125814","ENSG00000125814"
"RNA5SP479","ENSG00000201728","ENSG00000201728"
"CSTL1","ENSG00000125823","ENSG00000125823"
"CST11","ENSG00000125831","ENSG00000125831"
"CST12P","ENSG00000226344","ENSG00000226344"
"CST8","ENSG00000125815","ENSG00000125815"
"CST13P","ENSG00000204663","ENSG00000204663"
"CST9LP1","ENSG00000204662","ENSG00000204662"
"CST9L","ENSG00000101435","ENSG00000101435"
"CST9LP2","ENSG00000204658","ENSG00000204658"
"CST9","ENSG00000173335","ENSG00000173335"
"CST3","ENSG00000101439","ENSG00000101439"
"CST4","ENSG00000101441","ENSG00000101441"
"CST2P1","ENSG00000232595","ENSG00000232595"
"CST1","ENSG00000170373","ENSG00000170373"
"CSTP2","ENSG00000277975","ENSG00000277975"
"CST2","ENSG00000170369","ENSG00000170369"
"CST5","ENSG00000170367","ENSG00000170367"
"CSTP1","ENSG00000228476","ENSG00000228476"
"ENSG00000236168",NA,"ENSG00000236168"
"GGTLC1","ENSG00000149435","ENSG00000149435"
"POM121L3P","ENSG00000167390","ENSG00000167390"
"GAPDHP53","ENSG00000234069","ENSG00000234069"
"SYNDIG1","ENSG00000101463","ENSG00000101463"
"CST7","ENSG00000077984","ENSG00000077984"
"APMAP","ENSG00000101474","ENSG00000101474"
"ACSS1","ENSG00000154930","ENSG00000154930"
"VSX1","ENSG00000100987","ENSG00000100987"
"ENSG00000225069",NA,"ENSG00000225069"
"ENSG00000225344",NA,"ENSG00000225344"
"ENTPD6","ENSG00000197586","ENSG00000197586"
"PYGB","ENSG00000100994","ENSG00000100994"
"ABHD12","ENSG00000100997","ENSG00000100997"
"PPIAP2","ENSG00000227379","ENSG00000227379"
"GINS1","ENSG00000101003","ENSG00000101003"
"NINL","ENSG00000101004","ENSG00000101004"
"NANP","ENSG00000170191","ENSG00000170191"
"MED28P7","ENSG00000236542","ENSG00000236542"
"ZNF337","ENSG00000130684","ENSG00000130684"
"VN1R108P","ENSG00000230772","ENSG00000230772"
"BSNDP1","ENSG00000275048","ENSG00000275048"
"ENSG00000250090",NA,"ENSG00000250090"
"BSNDP2","ENSG00000274973","ENSG00000274973"
"CFTRP1","ENSG00000228593","ENSG00000228593"
"ENSG00000204556",NA,"ENSG00000204556"
"BSNDP3","ENSG00000277508","ENSG00000277508"
"NCOR1P1","ENSG00000240108","ENSG00000240108"
"FRG1CP","ENSG00000282826","ENSG00000282826"
"FRG1DP","ENSG00000282870","ENSG00000282870"
"DUX4L32","ENSG00000283069","ENSG00000283069"
"PCMTD1P7","ENSG00000282949","ENSG00000282949"
"DUX4L33","ENSG00000282894","ENSG00000282894"
"DUX4L34","ENSG00000282935","ENSG00000282935"
"FRG2EP","ENSG00000282842","ENSG00000282842"
"RARRES2P11","ENSG00000283123","ENSG00000283123"
"AGGF1P10","ENSG00000282968","ENSG00000282968"
"DUX4L35","ENSG00000282911","ENSG00000282911"
"FRG1EP","ENSG00000282995","ENSG00000282995"
"CFTRP2","ENSG00000282921","ENSG00000282921"
"CDC27P3","ENSG00000283005","ENSG00000283005"
"DUX4L37","ENSG00000283020","ENSG00000283020"
"CFTRP3","ENSG00000204555","ENSG00000204555"
"FRG1BP","ENSG00000149531","ENSG00000149531"
